old_nodeid,capability,contract_ids,v2_nodeids,disposition,old_assertions
tests/test_testitems.py::test_unequal_width_same_base_roundtrip,同 base 跨不等宽字母往返不丢高位（引擎）,C-073,,保留·非GUI,"assert len(groups) == 1；assert groups[0][""rep""] == ""B"" and groups[0][""width""] == 4；assert rt.exp_value == vec.exp_value, ""往返丢位: %r"" % vec.assignments"
tests/test_testitems.py::test_empty_override_means_zero_tests,空 override = 零用例并进 skipped（引擎）,C-089,,保留·非GUI,"assert res[""summary""][""n_generated""] == 0；assert res[""summary""][""n_vectors""] == 0；assert ""d_logic_bt_lp_reserve"" in skipped_names；assert ""清空"" in ""; "".join(str(w) for *_h, w in reason)；assert row[""n_tests""] == 0 and ""清空"" in row[""error""]"
tests/test_testitems.py::test_negative_sv_has_neg_suffix,反例断言 id 带 _NEG（引擎）,C-092,,保留·非GUI,"assert ""assert_106_T0_NEG:"" in text"
tests/test_testitems.py::test_override_plus_left_neg_appends_auto,override + 左侧反例 → 补自动反例（引擎）,C-101,,保留·非GUI,"assert st[""n_vectors""] == 2；assert st[""n_negative""] == 1"
tests/test_testitems.py::test_report_tables_structure,report() 真值表结构（引擎）,C-173,,保留·非GUI,"assert ""tables"" in rep；assert t[""inputs""] and t[""tests""]；assert any(n.endswith(""_NEG"") for n in names)；assert all(len(tc[""values""]) == len(t[""inputs""]) for tc in t[""tests""])；assert neg_tc[""expected""] != neg_tc[""correct""]"
tests/test_testitems.py::test_report_tables_bitwidth_label,真值表行标签保留位宽（引擎）,C-074,,保留·非GUI,"assert ""d_bt_lp_lna_agc_local[2:0]"" in labels；assert t[""exp_label""] == ""期望(out)[2:0]"""
tests/test_testitems.py::test_custom_test_name_flows_to_sv,自定义列名贯穿 .sv 断言 id（引擎）,C-091,,保留·非GUI,"assert W.test_label(v_named) == ""boundary_case""；assert W.test_label(v_default) == ""T1""；assert W.test_label(v_neg) == ""bad_iddq_NEG""；assert ""assert_106_boundary_case:"" in text；assert ""assert_106_bad_iddq_NEG:"" in text"
tests/test_testitems.py::test_gui_rename_only_user_added,自动列拒改名 / 手编列可改名且贯穿 .sv,C-091;C-092;C-093;C-132,tests/test_ui_dialogs.py::test_dlg_rename_col_c091_valid_name_accepts;tests/test_ui_truth_model.py::test_c086_c087_c088_c093_column_ops;tests/test_ui_truth_panel.py::test_c085_to_c091_toolbar_actions_route_to_model;tests/test_ui_truth_view.py::test_c296_context_menu_and_c091_header_double_click_only_emit;tests/test_ui_dialogs.py::test_dlg_rename_col_c092_negative_gets_neg_suffix;tests/test_ui_dialogs.py::test_dlg_rename_col_c092_invalid_keeps_dialog_open;tests/test_ui_dialogs.py::test_dlg_rename_col_c093_auto_col_refusal_text_exists;tests/test_ui_sv_preview.py::test_c072_c132_dirty_on_edit_and_config;tests/test_ui_truth_model.py::test_c132_edit_roundtrip_matches_v1;tests/test_ui_truth_model.py::test_c132_dft_pitch_col_is_readonly_in_v2,删除·v2已覆盖,"assert not ok；assert ok and final == ""my_special_case_""；assert w._ti_rows[new_col][""name""] == ""my_special_case_""；assert w.ti_table.horizontalHeaderItem(new_col).text() == ""my_special_case_""；assert ""_my_special_case_:"" in text；assert not ok2 and ""重复"" in msg2"
tests/test_testitems.py::test_gui_reject_reserved_tname,改名拒 T<编号> 保留名与重名,C-092;C-093,tests/test_ui_dialogs.py::test_dlg_rename_col_c092_negative_gets_neg_suffix;tests/test_ui_dialogs.py::test_dlg_rename_col_c092_invalid_keeps_dialog_open;tests/test_ui_truth_model.py::test_c086_c087_c088_c093_column_ops;tests/test_ui_dialogs.py::test_dlg_rename_col_c093_auto_col_refusal_text_exists,删除·v2已覆盖,"assert not ok and ""冲突"" in msg；assert not ok2；assert ok3 and final == ""boundary"""
tests/test_testitems.py::test_build_no_dup_labels_normal,R 各异时无重复标号（引擎）,C-164,,保留·非GUI,"assert res[""summary""][""n_dup_labels""] == 0；assert res[""dup_labels""] == []"
tests/test_testitems.py::test_build_dup_labels_same_R,两信号同 R → build 抓到重复标号（引擎）,C-164,,保留·非GUI,"assert res[""summary""][""n_dup_labels""] > 0；assert any(""106_T0"" == lbl for lbl, _a, _b in res[""dup_labels""])"
tests/test_testitems.py::test_gui_neg_rebuild_keeps_name_and_wrong,再次加反例时保住已有反例列的改名与手填错值,C-097;C-101,tests/test_ui_migrated_c5a.py::test_c097_c101_add_neg_all_keeps_renamed_and_hand_filled_negatives;tests/test_ui_state.py::test_set_neg_adds_one_and_reports_skipped;tests/test_ui_truth_model.py::test_c096_c102_negatives_delegate_to_engine;tests/test_ui_truth_model.py::test_c097_c098_c099_c100_negatives_rules;tests/test_ui_truth_panel.py::test_c101_c122_all_positive_negatives_share_one_path,删除·v2已补强(test_c097_c101_add_neg_all_keeps_renamed_and_hand_filled_negatives),"assert ok；assert any(rd.get(""name"") == ""my_special_neg"" for rd in negs), ""重建丢了负向列改名""；assert any(rd.get(""wrong_value"") == 1 for rd in negs), ""重建丢了手填错值"""
tests/test_testitems.py::test_report_honors_overrides,report() 与 .sv 同用 override（引擎）,C-132,,保留·非GUI,"assert row[""n_tests""] == 1"
tests/test_testitems.py::test_no_overrides_unchanged,不传 override 时行为不变（引擎）,C-132,,保留·非GUI,"assert a[""summary""][""n_vectors""] == b[""summary""][""n_vectors""]；assert generator.render(a) == generator.render(b)"
tests/test_testitems.py::test_gui_testitem_edit_flow,真值表编辑冒烟：改格 → 加列 → 回流 build → 重新生成,C-078;C-085;C-086;C-132,tests/test_ui_truth_model.py::test_c078_c080_c081_exp_and_auto_recompute;tests/test_ui_truth_model.py::test_c078_designer_expected_equal_to_auto_is_recorded;tests/test_ui_truth_model.py::test_c089_c085_c094_clear_regen_fill;tests/test_ui_truth_model.py::test_c085_regenerate_is_one_undo_step;tests/test_ui_truth_model.py::test_c085_regenerate_undo_restores_an_too;tests/test_ui_truth_panel.py::test_c085_to_c091_toolbar_actions_route_to_model;tests/test_ui_truth_model.py::test_c086_c087_c088_c093_column_ops;tests/test_ui_sv_preview.py::test_c072_c132_dirty_on_edit_and_config;tests/test_ui_truth_model.py::test_c132_edit_roundtrip_matches_v1;tests/test_ui_truth_model.py::test_c132_dft_pitch_col_is_readonly_in_v2,删除·v2已覆盖,"assert len(w.signals) == 3；assert w._ti_sig is sig and len(w._ti_rows) >= 1；assert ""d_logic_bt_lp_reserve"" in w._customized；assert len(w._ti_rows) == n0 + 1；assert ov and ""d_logic_bt_lp_reserve"" in ov；assert len(ov[""d_logic_bt_lp_reserve""]) == len(w._ti_rows)；assert res[""summary""][""n_vectors""] == len(w._ti_rows)；assert ""d_logic_bt_lp_reserve"" not in w._customized"
tests/test_testitems.py::test_gui_add_negative_appends_not_modifies,加反例=追加列、正向一条不改；删反例只剩正向,C-101;C-102,tests/test_ui_truth_model.py::test_c096_c102_negatives_delegate_to_engine;tests/test_ui_truth_panel.py::test_c101_c122_all_positive_negatives_share_one_path;tests/test_ui_truth_panel.py::test_c096_c102_add_and_del_negatives_from_toolbar,删除·v2已覆盖,"assert len(pos) == n_pos and len(neg) == n_pos；assert [(dict(rd[""base_values""]), rd[""expected""]) for rd in pos] == pos_snapshot；assert all(rd[""expected""] == rd[""correct""] for rd in pos)；assert all(rd[""is_negative""] and rd[""expected""] != rd[""correct""] for rd in neg)；assert all(rd.get(""kind"") != ""neg"" for rd in w._ti_rows) and len(w._ti_rows) == n_pos"
tests/test_testitems.py::test_gui_left_neg_adds_one,清单「反例」勾选 → 默认只加 1 条；取消 → 撤销,C-023,tests/test_ui_migrated_c5a.py::test_c023_c122_left_neg_column_shows_in_grid_and_uncheck_removes_it;tests/test_ui_signal_list.py::test_c022_c023_check_and_neg_columns_write_state;tests/test_ui_state.py::test_set_neg_adds_one_and_reports_skipped,删除·v2已补强(test_c023_c122_left_neg_column_shows_in_grid_and_uncheck_removes_it),"assert len(pos) == n_pos and len(neg) == 1；assert ""d_logic_bt_lp_reserve"" in w._neg_only；assert ""d_logic_bt_lp_reserve"" not in w._customized"
tests/test_testitems.py::test_gui_add_neg_selected_precise,「加反例(选中)」只给选中列加，取值复制自那一列,C-096,tests/test_ui_migrated_c5a.py::test_c096_add_neg_copies_values_from_the_selected_column;tests/test_ui_truth_model.py::test_c096_c102_negatives_delegate_to_engine;tests/test_ui_truth_panel.py::test_c096_c102_add_and_del_negatives_from_toolbar;tests/test_ui_truth_panel.py::test_c096_add_neg_without_selection_says_so,删除·v2已补强(test_c096_add_neg_copies_values_from_the_selected_column),"assert n_pos >= 2；assert len(neg) == 1；assert neg[0][""base_values""] == w._ti_rows[0][""base_values""]；assert sig.out_name.lower() in w._customized and sig.out_name.lower() not in w._neg_only；assert len(negs) == 2；assert any(rd[""base_values""] == t1_bv for rd in negs)"
tests/test_testitems.py::test_gui_all_signals_negative,一批信号各加恰好 1 条反例；清除撤销全部定制,C-035,tests/test_ui_signal_list.py::test_c035_c036_bulk_neg_confirm_when_named;tests/test_ui_signal_list.py::test_c035_neg_all_falls_back_to_visible_when_nothing_checked,删除·v2已覆盖,"assert ov is not None；assert all(sum(1 for v in vs if v.is_negative) == 1 for vs in ov.values() if vs)；assert len(ov) == len(w.signals)；assert neg_cols and w.ti_table.horizontalHeaderItem(neg_cols[0]).text().endswith(""_NEG"")；assert not w._customized"
tests/test_testitems.py::test_gui_bulk_neg_nondestructive,批量加反例不把已有多条反例塌成 1 条,C-035;C-097,tests/test_ui_signal_list.py::test_c035_c036_bulk_neg_confirm_when_named;tests/test_ui_signal_list.py::test_c035_neg_all_falls_back_to_visible_when_nothing_checked;tests/test_ui_state.py::test_set_neg_adds_one_and_reports_skipped;tests/test_ui_truth_model.py::test_c096_c102_negatives_delegate_to_engine;tests/test_ui_truth_model.py::test_c097_c098_c099_c100_negatives_rules,删除·v2已覆盖,assert n_neg_before >= 2；assert n_neg_after == n_neg_before
tests/test_testitems.py::test_gui_add_neg_selected_no_duplicate,对已有反例的列再加不产生重复反例,C-097,tests/test_ui_state.py::test_set_neg_adds_one_and_reports_skipped;tests/test_ui_truth_model.py::test_c096_c102_negatives_delegate_to_engine;tests/test_ui_truth_model.py::test_c097_c098_c099_c100_negatives_rules,删除·v2已覆盖,"assert sum(1 for rd in w._ti_rows if rd.get(""kind"") == ""neg"") == n_neg"
tests/test_testitems.py::test_gui_default_one_survives_coverage_change,只加反例的信号切覆盖度后仍是 1 条反例,C-154,tests/test_ui_migrated_c5a.py::test_c154_neg_only_signal_follows_global_coverage;tests/test_ui_coverage.py::test_c152_c153_c154_recompute_rules,删除·v2已补强(test_c154_neg_only_signal_follows_global_coverage),"assert sum(1 for rd in w._ti_rows if rd.get(""kind"") == ""neg"") == 1；assert w._neg_only.get(sig.out_name.lower()) == ""first""；assert n_neg == 1；assert w._neg_only.get(sig.out_name.lower()) == ""first"""
tests/test_testitems.py::test_gui_positive_only_strips_negatives,「仅正向」导出剔除反例向量,C-158,tests/test_pageviews.py::test_c158_page_sv_neg_scope_without_negatives_is_empty;tests/test_ui_export_center.py::test_c157_c158_c159_c160_c161_sv_row_options_to_exports,删除·v2已覆盖,assert n_neg >= 1；assert all(not v.is_negative for v in ov_pos[name])；assert len(ov_pos[name]) == len(ov_all[name]) - n_neg
tests/test_testitems.py::test_gui_coverage_mapping,"覆盖度下拉 → (mode, exhaustive) 三档映射",C-142,tests/test_ui_c4_integration.py::test_c4_coverage_requested_opens_popover;tests/test_ui_coverage.py::test_c142_c143_global_and_maxt_persist_per_view,删除·v2已覆盖,"assert w._coverage() == (""min"", False)；assert w._coverage() == (""max"", False)；assert w._coverage() == (""max"", True)"
tests/test_testitems.py::test_gui_coverage_decouple_mapping,logic / mux 两套覆盖度下拉各自独立（v2 已合并成一套）,C-155;C-156,tests/test_ui_coverage.py::test_c155_c156_single_widget_single_model;tests/test_ui_c4_integration.py::test_c4_coverage_requested_opens_popover,删除·v2已覆盖,"assert w._coverage() == (""min"", False)；assert w._mux_coverage() == (""max"", True)；assert w._mux_cov_mode() == ""exhaustive""；assert w._coverage() == (""max"", False)；assert w._mux_cov_mode() == ""min"""
tests/test_testitems.py::test_gui_coverage_no_restore_under_pytest,pytest 下不从真实 settings 恢复覆盖档,C-246,tests/test_ui_invariants.py::test_i08_c245_c246_full_window_never_touches_home;tests/test_ui_state.py::test_c246_pytest_never_touches_home,删除·v2已覆盖,"assert w.coverage.currentText() == ""精简""；assert w.coverage_mux.currentText() == ""精简"""
tests/test_testitems.py::test_gui_coverage_live_update,切覆盖度即时重算未自定义信号的真值表,C-142;C-152,tests/test_ui_migrated_c5a.py::test_c142_c143_c152_global_cov_and_max_tests_relayout_columns_live;tests/test_ui_c4_integration.py::test_c4_coverage_requested_opens_popover;tests/test_ui_coverage.py::test_c142_c143_global_and_maxt_persist_per_view;tests/test_ui_coverage.py::test_c152_c153_c154_recompute_rules,删除·v2已补强(test_c142_c143_c152_global_cov_and_max_tests_relayout_columns_live),assert n_min >= 1 and n_max >= n_min
tests/test_testitems.py::test_gui_coverage_keeps_customized,已自定义信号切覆盖度不冲掉编辑,C-153,tests/test_ui_migrated_c5a.py::test_c153_edited_signal_keeps_columns_when_global_cov_changes;tests/test_ui_coverage.py::test_c152_c153_c154_recompute_rules,删除·v2已补强(test_c153_edited_signal_keeps_columns_when_global_cov_changes),assert sig.out_name.lower() in w._customized；assert sig.out_name.lower() in w._customized；assert len(w._ti_rows) == rows_before
tests/test_testitems.py::test_gui_max_tests_live_update,改用例上限即时重算当前非自定义信号,C-143,tests/test_ui_migrated_c5a.py::test_c142_c143_c152_global_cov_and_max_tests_relayout_columns_live;tests/test_ui_coverage.py::test_c142_c143_global_and_maxt_persist_per_view,删除·v2已补强(test_c142_c143_c152_global_cov_and_max_tests_relayout_columns_live),assert n0 > 2；assert len(w._ti_rows) <= 2 and len(w._ti_rows) < n0
tests/test_testitems.py::test_gui_coverage_live_update_neg_only,仅加过反例的信号切覆盖度重算正向并补回反例,C-154,tests/test_ui_migrated_c5a.py::test_c154_neg_only_signal_follows_global_coverage;tests/test_ui_coverage.py::test_c152_c153_c154_recompute_rules,删除·v2已补强(test_c154_neg_only_signal_follows_global_coverage),assert sig.out_name.lower() in w._neg_only；assert len(pos) <= n_pos_max and len(neg) == len(pos) and len(neg) >= 1；assert sig.out_name.lower() in w._neg_only
tests/test_testitems.py::test_gui_neg_only_switch_follows_global_coverage,未在看的 neg-only 信号也跟随全局覆盖度,C-154,tests/test_ui_migrated_c5a.py::test_c154_neg_only_signal_follows_global_coverage;tests/test_ui_coverage.py::test_c152_c153_c154_recompute_rules,删除·v2已补强(test_c154_neg_only_signal_follows_global_coverage),"assert A.lower() in w._neg_only and B.lower() in w._neg_only；assert b_pos == b_auto_full, ""切到未在改全局时看的 neg_only 信号 B 应跟随全局全面(%d)，实得 %d"" % (b_auto_full, b_pos)；assert b_neg >= 1, ""负向应保留""；assert pos_neg(w3)[0] == b_auto_full, ""重开后 B 选中应跟随当前全局全面""；assert B.lower() in w3._neg_only and pos_neg(w3)[1] >= 1, ""重开后负向定制应恢复"""
tests/test_testitems.py::test_gui_neg_only_build_follows_global_coverage,neg-only 信号在 build/报告侧也跟随全局覆盖度,C-154,tests/test_ui_migrated_c5a.py::test_c154_neg_only_signal_follows_global_coverage;tests/test_ui_coverage.py::test_c152_c153_c154_recompute_rules,删除·v2已补强(test_c154_neg_only_signal_follows_global_coverage),"assert clean_exh > clean_min, ""纯自动：穷举(%d)应>精简(%d)"" % (clean_exh, clean_min)；assert neg_min_pos == clean_min, ""加负向后精简正向应=纯自动精简(%d)，实得 %d"" % (clean_min, neg_min_pos)；assert neg_min_neg >= 1, ""确实加了负向""；assert neg_exh_pos == clean_exh, \ ""加负向后切穷举，build 正向应=clean穷举(%d)，实得 %d(冻结bug)"" % (clean_exh, neg_exh_pos)；assert neg_exh_neg == neg_min_neg, ""负向数(first 规则=每信号1条)不应因切覆盖度丢失"""
tests/test_testitems.py::test_gui_sig_cov_per_signal,本信号单点覆盖档压过全局，并带进 build,C-147;C-148,tests/test_ui_coverage.py::test_c147_c149_sig_cov_roundtrip_no_recompute;tests/test_ui_coverage.py::test_c148_c150_effective_chain_bar_text,删除·v2已覆盖,"assert w.sig_cov_combo.isEnabled()；assert w.sig_cov_combo.currentText() == ""跟随全局""；assert w._sig_cov.get(name_low) == ""exhaustive""；assert w.coverage.currentText() == ""精简""；assert n_one > n_min, ""单点穷举应比全局精简用例多""；assert opts.sig_cov.get(name_low) == ""exhaustive""；assert nv == n_one；assert name_low not in w._sig_cov；assert len(w._ti_rows) == n_min"
tests/test_testitems.py::test_gui_sig_cov_isolated_to_signal,单点档不跨信号串（切信号回显各自的档）,C-147;C-149,tests/test_ui_coverage.py::test_c147_c149_sig_cov_roundtrip_no_recompute,删除·v2已覆盖,"assert w._sig_cov.get(sigA.out_name.lower()) == ""exhaustive""；assert w.sig_cov_combo.currentText() == ""跟随全局""；assert sigB.out_name.lower() not in w._sig_cov；assert cmap[sigA.out_name] == a_ex_n"
tests/test_testitems.py::test_gui_sig_cov_global_clears_displayed_override,拧全局只清【当前在看】那个信号的单点档；别的保留；改上限不清档,C-151,tests/test_ui_migrated_c5a.py::test_c151_global_change_clears_only_the_current_signal_override;tests/test_ui_coverage.py::test_c151_global_change_clears_sig_cov,删除·v2已补强(test_c151_global_change_clears_only_the_current_signal_override),"assert A.lower() not in w._sig_cov, ""看A时拧全局→应清掉A的单点档""；assert len(w._ti_rows) < n_exh, ""清档后A应跟随全局全面、用例变少""；assert B.lower() in w._sig_cov, ""没在看的B应保留单点档""；assert w._sig_cov.get(B.lower()) == ""exhaustive""；assert w.sig_cov_combo.currentText() == ""穷举""；assert w._sig_cov.get(A.lower()) == ""exhaustive"", ""改 max_tests 不该清单点档"""
tests/test_testitems.py::test_gui_sig_cov_session_only_not_persisted,单点档是会话内临时档，不存盘不恢复,C-245,tests/test_ui_coverage.py::test_c245_sig_cov_not_in_settings;tests/test_ui_invariants.py::test_i08_c245_c246_full_window_never_touches_home;tests/test_ui_state.py::test_c245_sig_cov_not_persisted,删除·v2已覆盖,"assert w1._sig_cov.get(A) == ""min""；assert w2._sig_cov == {}, ""单点档不该从磁盘恢复（会话内临时）""；assert n_exh > len(w2._ti_rows), ""新会话 A 应跟随全局(穷举>精简)，不被上次残留单点档盖住""；assert ""sig_cov"" not in bucket, ""单点档不该进存盘桶"""
tests/test_testitems.py::test_gui_sig_cov_bucket_sig_cov_ignored,旧桶里残留的 sig_cov 段一律忽略,C-245,tests/test_ui_coverage.py::test_c245_sig_cov_not_in_settings;tests/test_ui_invariants.py::test_i08_c245_c246_full_window_never_touches_home;tests/test_ui_state.py::test_c245_sig_cov_not_persisted,删除·v2已覆盖,"assert w._sig_cov == {}, ""旧桶 sig_cov 应被忽略"""
tests/test_testitems.py::test_gui_export_negative_only,「仅负向」导出：override 只剩反例，build 全是反例,C-158,tests/test_pageviews.py::test_c158_page_sv_neg_scope_without_negatives_is_empty;tests/test_ui_export_center.py::test_c157_c158_c159_c160_c161_sv_row_options_to_exports,删除·v2已覆盖,"assert name.lower() in ov_neg；assert ov_neg[name.lower()] and all(v.is_negative for v in ov_neg[name.lower()])；assert w._negative_signal_names([name]) == [name]；assert s[""n_vectors""] > 0 and s[""n_vectors""] == s[""n_negative""]"
tests/test_testitems.py::test_gui_export_negative_only_signal_without_neg_skipped,没有反例的信号不进「仅负向」范围,C-158,tests/test_pageviews.py::test_c158_page_sv_neg_scope_without_negatives_is_empty;tests/test_ui_export_center.py::test_c157_c158_c159_c160_c161_sv_row_options_to_exports,删除·v2已覆盖,assert w._vector_overrides(negative_only=True) is None；assert w._negative_signal_names([sig.out_name]) == []
tests/test_testitems.py::test_report_verifiability_structure,report() 的可验证性四类计数（引擎）,C-173,,保留·非GUI,"assert set(v[""counts""]) >= {""clean"", ""wire-fallback"", ""unresolved"", ""parse-err""}；assert sum(v[""counts""].values()) == len(v[""signals""]) == len(wb.logic)；assert all(s[""status""] in v[""counts""] for s in v[""signals""])；assert v[""counts""][k] == n"
tests/test_testitems.py::test_html_report_has_verifiability_tab,HTML 报告可验证性标签页（引擎）,C-173,,保留·非GUI,"assert ""可验证性"" in html and 'data-tab=""ver""' in html；assert 'id=""ver""' in html and ""vrow"" in html"
tests/test_testitems.py::test_csv_report_writes_verifiability,CSV 报告另写可验证性表（引擎）,C-174,,保留·非GUI,"assert verif, ""应生成可验证性 CSV""；assert ""可验证性"" in content"
tests/test_testitems.py::test_gui_truthtable_short_headers_and_inputs_table,真值表行表头=真实信号名(控制位加粗+字母 tooltip) + 输入信号表五列,C-074;C-075;C-056;C-057,tests/test_inputs_table.py::test_c074_vheader_display_format;tests/test_ui_truth_model.py::test_c073_c074_c077_shape_rows_are_inputs_plus_auto_plus_exp;tests/test_ui_truth_view.py::test_c074_c075_frozen_labels_and_tooltips;tests/test_ui_c2_integration.py::test_c055_c056_c068_c280_current_changed_syncs_four_widgets_with_one_analyze;tests/test_ui_side_panel.py::test_c056_inputs_table_four_columns_and_two_rows_per_input;tests/test_ui_side_panel.py::test_c056_inputs_rows_match_engine_for_every_mirror_signal;tests/test_ui_side_panel.py::test_c056_every_side_object_name_is_present;tests/test_ui_side_panel.py::test_c056_side_panel_size_hint_follows_design;tests/test_exports.py::test_c057_drive_pair_single_source;tests/test_ui_side_panel.py::test_c057_drive_line_shows_rfwrite_and_force,删除·v2已覆盖,"assert ""d_bt_lp_linelocal_mode_ctrl (控制)"" in headers；assert ""d_bt_lp_iddq (控制)"" in headers；assert ""d_bt_lp_bt_mode_sel_local"" in headers；assert ""d_bt_lp_bt_mode_sel"" in headers；assert all(h.split()[0] not in (""A"", ""B"", ""C"", ""J"") for h in headers)；assert any(""表达式里的 A"" in t for t in tips)；assert any(""表达式里的 J"" in t for t in tips)；assert bold == {""A"", ""J""}；assert ""(A?C:B)&(~J)"" in w.ti_header.text()；assert ""字母对应"" not in w.ti_header.text()；assert ti.columnCount() == 5；assert ti.rowCount() == len(w._ti_groups)；assert set(rowmap) >= {""A"", ""B"", ""C"", ""J""}；assert ""d_bt_lp_linelocal_mode_ctrl"" in ti.item(rowmap[""A""], 1).text()；assert ""控制"" in ti.item(rowmap[""A""], 2).text() and ""控制"" in ti.item(rowmap[""J""], 2).text()；assert ""数据"" in ti.item(rowmap[""C""], 2).text() and ""数据"" in ti.item(rowmap[""B""], 2).text()；assert kind in (""RO"", ""RW"", ""UNKNOWN"", ""?"")；assert drive.startswith(""force ENV_RF."")；assert drive.startswith(""RF_WRITE"")"
tests/test_testitems.py::test_report_table_inputs_carry_letters,报告真值表 inputs 带字母、按地址序（引擎）,C-076,,保留·非GUI,"assert sorted(i[""letters""] for i in t[""inputs""]) == [""A"", ""B"", ""C"", ""J""]；assert [i[""letters""] for i in t[""inputs""]] == [""B"", ""A"", ""C"", ""J""]；assert all(""label"" in i for i in t[""inputs""])"
tests/test_testitems.py::test_html_report_maps_letters_to_signals,HTML 报告字母→信号映射（引擎）,C-173,,保留·非GUI,"assert ""A → d_bt_lp_linelocal_mode_ctrl"" in html；assert ""J → d_bt_lp_iddq"" in html"
tests/test_testitems.py::test_html_report_truth_table_value_filter,HTML 报告真值表按值筛选（引擎）,C-173,,保留·非GUI,"assert m, ""缺少 tt-data blob""；assert blk, ""应至少有一个真值表块（多列+变化输入）挂上按值筛选输入框""；assert re.search(r'<input class=""ttf"" type=""text"" data-ri=""\d+""', blk)；assert ""<select"" not in blk and ""(全部)"" not in blk；assert 'data-c=""0""' in blk；assert 'class=""ttfcount""' in blk and 'class=""ttfclr""' in blk；assert 'class=""inrow"" data-ri=' in blk；assert '<div class=""ttblock"">' not in shell；assert '.tt .ttfx{display:none}' in shell；assert 'function filterBlock' in shell；assert ""contains('ttf')"" in shell；assert ""contains('ttfclr')"" in shell；assert ""addEventListener('input'"" in shell"
tests/test_testitems.py::test_gui_panes_are_resizable,工具条 FlowLayout 可缩到单按钮宽 + 分栏不可塌陷,C-262;C-263,tests/test_ui_app.py::test_c260_c261_c262_default_sizes_and_clamps;tests/test_ui_app.py::test_c263_flowlayout_wraps,删除·v2已覆盖,assert not sp.childrenCollapsible()；assert sp.widget(0).minimumWidth() <= 260；assert len(flows) >= 2；assert 0 < fl.minimumSize().width() < 260；assert fl.heightForWidth(180) >= fl.heightForWidth(2000)
