id,area,capability,category,old_entry,backend_api,v2_location,test_ids,status,source,note
C-050,详情,跨页展开链：每层两行（Excel 原式 / 字母代入真实信号名），①②③ 标层级,保留,SV._render_chain / MW._populate_chain,topout.analyze_signal（res.chain）,,,待落点,方案§4.1; Design§3-Q2; Design§10; 审计A,
C-051,详情,没有上游的单级 logic 信号，链区显示『原式 / 字母代入真名』并说明输入均为直连叶子,保留,SV._render_chain（kind=='logic' 分支）,pageviews.analyze_page_signal,,,待落点,gui:_render_chain,
C-052,详情,mux 信号链区显示 case 选路结构（控制值 → 选中的数据源）,保留,SV._render_chain（kind=='mux' 分支）,mux_gen.expand_mux_group,,,待落点,gui:_render_chain,
C-053,详情,直连寄存器信号链区说明『顶层口 == 该寄存器字段写值，无展开』,保留,SV._render_chain（kind=='register' 分支）,topout.analyze_signal,,,待落点,gui:_render_chain,
C-054,详情,不可建信号在链区直接写出状态与原因（不是空白）,保留,SV._render_chain（else 分支）,topout.analyze_signal（status/note/issues）,,,待落点,gui:_render_chain,
C-055,详情,详情头部一行摘要：信号名 / owner / 分类 / 状态 / 用例数 / 是否已自定义 / note / issues,保留,SV._render_head,topout.analyze_signal,,,待落点,gui:_render_head,
C-056,详情,『输入信号』表常驻：字母 → 信号(位宽) · 角色 · RO/RW · 驱动方式,保留,MW.ti_inputs + MW._populate_inputs（legacy 独有）,vectors.input_groups / resolver.Resolver.resolve,,,待落点,方案§4.1; Design§3-Q3; Design§10; 审计A; 审计Top10-1; 清单§7,
C-057,详情,输入表把 RO 写成 force ENV_RF.<网名>、RW 写成 RF_WRITE 0x<地址> bit<<<位>,保留,MW._binding_meta,sv_writer.compute_drives / resolver.Resolver,,,待落点,方案§4.1; Design§3-Q3; 审计A,
C-058,详情,输入表标出『⚠需探针前缀（内部衔接网，跑 scan_rtl 配前缀否则跳过）』,保留,MW._binding_meta（found_in in needs-prefix/mux-output）,resolver.Resolver,,,待落点,gui:_binding_meta,文档没写代码里有：解析到了但仍要配前缀——这是仿真报『找不到这根网』最常见的隐藏原因
C-059,详情,输入表的驱动列上色：未解析=红、需前缀=琥珀,保留,MW._populate_inputs / MW._populate_mux_inputs,—,,,待落点,gui:_populate_inputs,文档没写代码里有：一屏几十行输入里，哪根驱不动要能扫一眼看到，不能靠逐行读文字
C-060,详情,mux 信号的输入表按控制三来源细分角色（寄存器直出 / line路径 / local路径 / 模式位 / 经上游mux驱动 / 上游mux配方）,保留,MW._populate_mux_inputs + MW._mux_ctrl_rows,mux_gen.expand_mux_group（ctrl_drivers）,,,待落点,清单§1; gui:_mux_ctrl_rows,文档只写到『输入信号表』，没写 mux 版的三来源角色细分
C-061,详情,mux 输入表的数据寄存器按物理寄存器收拢（同一寄存器只显一行）并标『被哪个 case 选中』,保留,MW._populate_mux_inputs（seen_bases）,mux_gen.expand_mux_group（data_keys）,,,待落点,gui:_populate_mux_inputs,文档没写代码里有：死分支 / LUT 型同源多 case 会刷出十几行重复；收拢后才和 for_test 的 t0~t7 对得上
C-062,详情,输入表单列出 dft 页的 iddq 门（角色『DFT门(iddq)·每条测试驱透传值』）,保留,MW._dft_gate_input_row,generator.pin_dft_gate,,,待落点,gui:_dft_gate_input_row,文档没写代码里有：门在 dft 页、不在展开输入里；不单列出来，用户对照 for_test 会以为漏了一个源头控制
C-063,详情,每条测试列的 force / RF_WRITE 明细（列头与单元格悬停都给）,保留,MW._ti_render_col + MW._drive_strs,sv_writer.compute_drives,,,待落点,方案§4.1; Design§10; 审计A; 审计Top10-1,
C-064,详情,点信号看解析明细：逐字母 输入名 / 类型 / 来源 / 是否解析到 / 最终 net 名 / note,保留,MW.on_row_focus,generator.analyze_signal（inputs）,,,待落点,方案§4.1; Design§10; 审计B; 审计Top10-1,
C-065,详情,解析明细里把输入来源翻成中文（tmm命中 / regmap命中 / 级联前级 / 内部信号 / wire兜底 / 前缀wire / 自引用前级 / 需探针前缀 / 上游计算网）,保留,gui.FOUND_IN_LABEL（MW.on_row_focus 用）,resolver.Resolver（found_in）,,,待落点,计划§2-⑥; gui:FOUND_IN_LABEL,
C-066,详情,解析明细末尾给『仿真器找不到这根网』的排查提示（对比 force/输出 net 名是否真存在）,保留,MW.on_row_focus 末尾,—,,,待落点,方案§4.1; Design§3-Q6; 审计B,
C-067,详情,预览勾选集的 .sv（含真值表编辑，所见即所得）,保留,SV.on_preview / MW.on_preview,topout.render_topout_sv / generator.build + generator.render,,,待落点,方案§4.1; Design§10; 清单§1,
C-068,详情,预览本信号的 .sv 片段（不必取消其余 210 条勾选）,保留,MW.on_ti_preview_signal（legacy 独有）,sv_writer.render_signal_block,,,待落点,方案§4.1; Design§10; 审计A; 审计Top10-5,
C-069,详情,全量预览超过 600 行时截断并注明总行数（不卡界面）,保留,MW.on_preview（lines[:600]）,—,,,待落点,gui:on_preview,文档没写代码里有：211 信号全量预览是几万行，不截断界面直接卡死
C-070,详情,全量预览末尾追加本次会跳过哪些信号、各自缺哪根输入,保留,MW.on_preview 末尾 appendPlainText,generator.build（res['skipped']）,,,待落点,gui:on_preview,文档没写代码里有：预览阶段就点名跳过项，不必等导出完才发现少了信号
C-071,详情,本信号覆盖度下拉就在详情区（对着当前这一个信号调档）,保留,SV.sig_cov_combo / MW.sig_cov_combo,"topout.analyze_signal(mode=,exhaustive=)",,,待落点,方案§4.1; Design§10; 审计A,
C-072,详情,配置变更（前缀/级联/尾缀）后预览页自动按新配置重算，不留旧内容误导,保留,MW._refresh_preview（_preview_source）,—,,,待落点,gui:_refresh_preview,文档没写代码里有：留着按旧前缀算的预览，会让人得出『改了没生效』的错误结论
C-073,真值表编辑,真值表：行=输入信号 + auto_out + 期望，列=一条测试,保留,SV._populate_truth / MW._ti_populate,vectors.generate_vectors,,,待落点,方案§4.1; Design§3-Q2; Design§10,
C-074,真值表编辑,行表头直接写真实信号名（不写 A/B/C 字母），控制/选择位加粗,保留,MW._vheader_short / SV._populate_truth,vectors.input_groups,,,待落点,Design§8-5; 清单§7; gui:_vheader_short,
C-075,真值表编辑,行表头悬停给出『信号 = 表达式里的哪个字母 · 类型 · 位宽 · 控制位还是数据位』,保留,MW._ti_populate（verticalHeaderItem tooltip）,—,,,待落点,Design§8-5; gui:_ti_populate,
C-076,真值表编辑,输入行按 for_test 页的行序排（与报告/回填/截图同一口径）,保留,gui._order_groups_fortest / MW._load_test_items,generator.fortest_order_entries,,,待落点,gui:_order_groups_fortest,文档没写代码里有：m4 口径统一，避免编辑器与导出两套行序
C-077,真值表编辑,auto_out 行只读、斜体灰字，悬停说明『它来自表达式本身，拿它当期望有自证嫌疑』,保留,SV._populate_truth / MW._ti_populate,—,,,待落点,方案§4.1; Design§3-Q4; gui:_ti_populate,
C-078,真值表编辑,期望行可逐格手填，.sv 断言用它；留空则生成时用 auto_out 兜底,保留,SV._on_truth_item / MW.on_ti_item_changed,vectors.make_vector_from_base_values(designer_expected=),,,待落点,方案§4.1; Design§3-Q4; 方案§5-5,
C-079,真值表编辑,期望格状态色：绿=已填且与 auto 一致，红=已填但不一致，灰=未填，琥珀=反例，淡紫=iddq 自检拍，淡蓝=手编列,保留,SV._populate_truth（DSGN_BG/DIFF_BG/FB_FG/NEG_BG/DFT_BG/USER_BG）,—,,,待落点,计划§2-⑥; Design§11-4; gui:_populate_truth,
C-080,真值表编辑,改任一输入值 → auto_out 当场重算；已手填的期望不动,保留,SV._recompute_col / MW._recompute_row,vectors.make_vector_from_base_values,,,待落点,方案§4.1; Design§10,
C-081,真值表编辑,期望格清空 = 恢复未填状态（回到 auto_out 兜底）,保留,SV._on_truth_item（txt==''）/ MW.on_ti_item_changed,—,,,待落点,gui:_on_truth_item,
C-082,真值表编辑,8 种数值写法都认：16'h3 / 'b101 / 'd9 / hA / 0x3 / 0b101 / 十进制 / 裸 hex,保留,truth_edit.parse_int（SV._on_truth_item / MW._parse_int 共用）,truth_edit.parse_int,,,待落点,方案§4.1; Design§10; 审计A; 审计Top10-2,
C-083,真值表编辑,数值写法没认出来时状态栏说清楚并把这一格还原，绝不静默吞成 0 / 未填,保留,SV._parse_failed / MW.on_ti_item_changed（except ValueError）,truth_edit.parse_int,,,待落点,方案§4.1; 审计A; 审计Top10-2,
C-084,真值表编辑,单元格取值显示格式：1 位→0/1；2–4 位→0bXXXX 零填充；更宽→0xNN,保留,MW._cell_text,—,,,待落点,gui:_cell_text,文档没写代码里有：这个格式保证能被 parse_int 原样读回
C-085,真值表编辑,重新生成：丢弃本信号自定义，按当前覆盖度重出真值表,保留,SV._e_regen / MW.on_ti_regen,vectors.generate_vectors,,,待落点,方案§4.1; Design§10; 审计A,
C-086,真值表编辑,加一条正向测试列（输入全 0、auto_out 自动算、期望留空）,保留,SV._e_add / MW.on_ti_add,vectors.make_vector_from_base_values,,,待落点,方案§4.1; Design§10; 审计A,
C-087,真值表编辑,复制选中的测试列,保留,SV._e_copy / MW.on_ti_copy,vectors.clone_vector,,,待落点,方案§4.1; Design§10; 审计A,
C-088,真值表编辑,删除选中的测试列（支持多选）,保留,SV._e_del / MW.on_ti_del,—,,,待落点,方案§4.1; Design§10; 审计A,
C-089,真值表编辑,清零本信号=零用例（导出时本信号只记账不产断言）,保留,SV._e_clear / MW.on_ti_clear,topout.build_for_topout(edit_overrides=),,,待落点,方案§4.1; Design§10; 审计A,
C-090,真值表编辑,清零前弹确认框（说明后果、默认按钮=否）,保留,SV._confirm / MW.on_ti_clear,—,,,待落点,方案§4.1; 审计A; 审计Top10-6,
C-091,真值表编辑,给用户新增的列改名（双击列头或按钮）,保留,SV._e_rename / SV._e_rename_col / MW.on_ti_rename_col,truth_edit.check_col_name,,,待落点,方案§4.1; Design§10; 审计A,
C-092,真值表编辑,改名三道校验：非法字符清成下划线且不得为空 / 不许占 T<编号> 保留名 / 不得与其它列最终标号重名,保留,truth_edit.check_col_name（SV._e_rename_col / MW._ti_set_test_name 共用）,truth_edit.check_col_name,,,待落点,方案§4.1; 审计A; 审计Top10-4,
C-093,真值表编辑,自动生成的 T 列不许改名，点了给明确提示,保留,SV._e_rename_col / MW.on_ti_rename_col（user_added 判定）,—,,,待落点,gui:_e_rename_col,
C-094,真值表编辑,auto→期望：把 auto_out 一次填进所有未填的期望格，已填的不动,保留,SV._e_fill / MW.on_ti_fill_expected,—,,,待落点,方案§4.1; Design§10; 审计A,
C-095,真值表编辑,auto→期望前弹确认框，明说这等于放弃 designer 独立核对,保留,SV._e_fill / MW._confirm_fill_expected,—,,,待落点,方案§4.1; Design§3-Q4; 审计A; 审计Top10-6,
C-096,真值表编辑,给选中的正向列各加一条反例（未选则取首条正向）,保留,SV._e_addneg / MW.on_ti_add_neg_selected,truth_edit.plan_negatives / vectors.make_negative,,,待落点,方案§4.1; Design§10; 审计A,
C-097,真值表编辑,同一组输入取值已经有反例的跳过，不叠重复断言，并在状态栏报跳过几条,保留,truth_edit.plan_negatives（SV._add_negatives / MW.on_ti_add_neg_selected）,truth_edit.plan_negatives,,,待落点,方案§4.1; 审计A; 审计bug①,
C-098,真值表编辑,只对正向列造反例，不给反例列再套反例,保留,truth_edit.plan_negatives（all_positive 分支）,truth_edit.plan_negatives,,,待落点,审计bug①; 方案§3-轨0-1,
C-099,真值表编辑,新列名对全集唯一（含 T<n> 自动列与 _NEG 反例列，大小写无关），不产生重复 .sv 标号,保留,truth_edit.uniq_col_name（SV._new_col_name）,truth_edit.uniq_col_name,,,待落点,审计bug①; 方案§3-轨0-1,
C-100,真值表编辑,反例错值同时避开 auto_out 和 designer 手填期望两个『正确值』，防止反例静默 PASS,保留,SV._add_negatives（V.make_negative 防撞）,vectors.make_negative,,,待落点,gui:_add_negatives,文档没写代码里有：m6，~auto 恰等于手填期望时反例会变成 NEG-BROKEN
C-101,真值表编辑,每条正向用例各追加一条反例（全覆盖，用例数翻倍）,保留,SV._e_addneg_all / MW.on_ti_add_neg_all,vectors.add_negatives,,,待落点,方案§4.1; Design§10; 审计A,
C-102,真值表编辑,删除本信号全部反例、保留正向,保留,SV._e_delneg / MW.on_ti_del_neg,—,,,待落点,方案§4.1; Design§10; 审计A,
C-103,真值表编辑,删反例前，若有自定义命名或手填错值的反例先弹确认（那是用户的活）,保留,SV._protected_negatives + SV._e_delneg / MW.on_ti_del_neg,truth_edit.is_auto_neg_name,,,待落点,方案§4.1; 审计A; 审计Top10-6,
C-104,真值表编辑,反例期望被填成与正确值相同时，仍保住它的反例身份（记成 NEG-BROKEN，不静默退化成普通断言）,保留,SV._cols_to_vectors（is_negative 兜底）,vectors.make_vector_from_base_values,,,待落点,审计A; gui:_cols_to_vectors,
C-105,真值表编辑,mux 反例错值等于正确值时自动翻一位并在状态栏说明,保留,MW._on_mux_user_exp_changed,—,,,待落点,方案§4.1; 审计A,
C-106,真值表编辑,期望手填进度 N/M 显示在真值表头部,保留,MW._update_ti_header（fill_tag）/ MW._update_mux_header,—,,,待落点,方案§4.1; Design§3-Q4; Design§10; 审计A; 审计次要,
C-107,真值表编辑,当前测试列整列淡蓝高亮（30 列横滚时不丢『我在哪一列』）；反例列被选中时用更深的琥珀,保留,MW._ti_on_current_col + MW._ti_render_col（HL_BG / HL_NEG_BG）,—,,,待落点,方案§4.1; 审计A; 审计次要,
C-108,真值表编辑,列宽拖过之后重建表格保留手动宽度，换信号才恢复自动适应,保留,MW._on_ti_section_resized + MW._ti_fit_columns,—,,,待落点,方案§4.1; 审计A; 审计次要,
C-109,真值表编辑,Ctrl+D 复制列；单元格正在编辑时不触发（不打断输入）,保留,MW._build_testitems_tab（QShortcut WidgetShortcut on ti_table）,—,,,待落点,方案§4.1; Design§9; 审计A; 审计次要,
C-110,真值表编辑,mux 数据值整表手填：按物理寄存器同步整行，清空恢复自动分配,保留,SV._set_mux_data / MW._on_mux_data_changed,mux_gen.make_mux_vectors(data_overrides=),,,待落点,方案§4.1; Design§10; 审计A; 6月审计N8,
C-111,真值表编辑,mux 单列数据值手填（只改本列，auto_out 按路由 case 的数据源重算）,保留,SV._set_mux_user_data / MW._on_mux_user_data_changed,mux_gen.expand_mux_group（data_keys）,,,待落点,方案§4.1; Design§10; 审计A; 审计Top10-8,
C-112,真值表编辑,已编辑过的 mux 信号改数据值后屏幕值与内部/导出值一致（所见即所得）,保留,SV._mux_resync_cols,mux_gen.make_mux_vectors,,,待落点,审计bug②; 方案§3-轨0-2,
C-113,真值表编辑,mux 手填数据值撞值时提示『≥2 条数据路取到相同值=选错路也测不出（假绿）』,保留,MW._load_mux_test_items（meta['override_collision']）,mux_gen.make_mux_vectors,,,待落点,gui:_load_mux_test_items,文档没写代码里有：两条数据路取到同一个值 = 选错路也 PASS（假绿），手填数据值时最容易踩
C-114,真值表编辑,mux 手填期望按输入取值键存，切覆盖度不串号,保留,MW._on_mux_exp_changed（generator.mux_assign_key）,generator.apply_mux_expected,,,待落点,gui:_on_mux_exp_changed,文档没写代码里有：mux 向量由 case 结构生成、列号随覆盖度变；按列号存会把期望串到别的 case 上
C-115,真值表编辑,mux 加正向列：克隆选中列的 case 成一条可改名、可改本列数据值的手编列,保留,MW._mux_add_col,vectors.clone_vector,,,待落点,方案§4.1; 审计A,
C-116,真值表编辑,mux 复制列（数据值与期望一并带走，自动换新名避免标号冲突）,保留,MW._mux_copy_col,vectors.clone_vector,,,待落点,方案§4.1; 审计A,
C-117,真值表编辑,mux 删列：自动生成列按签名记下（可重新生成恢复），手编列按对象删，全局反例列删=清整信号反例标记,保留,MW._mux_del_cols,generator.mux_assign_key / GenOptions.mux_dropped,,,待落点,方案§4.1; 审计A,
C-118,真值表编辑,mux 清空=零用例（与覆盖度无关）,保留,MW.on_ti_clear（mux 分支 → _mux_cleared）,generator.GenOptions(mux_cleared=),,,待落点,方案§4.1; 审计A,
C-119,真值表编辑,mux 重新生成：丢弃清空/删列/手填期望/数据值/手编列/反例，回出厂态,保留,MW.on_ti_regen（mux 分支）,—,,,待落点,方案§4.1; 审计A,
C-120,真值表编辑,mux 手编列改名（自动生成列与勾选产生的自检列拒绝改名）,保留,MW._mux_rename_col,sv_writer.test_label,,,待落点,方案§4.1; 审计A,
C-121,真值表编辑,mux 逐 case 加反例（已有相同反例的跳过）,保留,MW._mux_add_neg,vectors.make_negative,,,待落点,方案§4.1; 审计A,
C-122,真值表编辑,mux 全部正向列加反例,保留,MW.on_ti_add_neg_all（mux 分支）,vectors.make_negative,,,待落点,方案§4.1; 审计A,
C-123,真值表编辑,mux 删反例（手编反例列 + 整信号反例标记一起清）,保留,MW.on_ti_del_neg（mux 分支）,—,,,待落点,方案§4.1; 审计A,
C-124,真值表编辑,mux 真值表头部：case 结构 + 生效覆盖档 + 该档怎么展开 + 期望手填进度,保留,MW._update_mux_header,generator._mux_ctrl_desc / mux_gen.coverage_mode,,,待落点,清单§1; gui:_update_mux_header,
